Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0037.2.JASPAR	11.796234	1.685176	7	1.216000	1.231000	0.859000	1.230000
GATA3_si.HOCOMOCO	8.769070	1.252724	7	1.476000	1.464000	0.938000	1.464000
GATA3_1.HOMER	16.031944	1.145139	14	1.218000	1.255000	0.830000	1.237000
GATA3_2.HOMER	15.724328	0.827596	19	1.282000	1.279000	0.831000	1.254000
GATA3_3.HOMER	14.720967	0.774788	19	1.256000	1.354000	0.830000	1.330000
GATA3_4.HOMER	14.018997	1.001357	14	1.246000	1.354000	0.830000	1.328000
GATA3_5.HOMER	8.223262	1.174752	7	1.322000	1.353000	0.833000	1.350000
GATA_disc4.POUR	11.632009	1.661716	7	1.315000	1.274000	0.860000	1.274000
GATA_disc5.POUR	13.701205	1.712651	8	1.143000	1.107000	1.041000	1.097000
GATA3_DBD.JOLMA	7.714744	1.102106	7	1.343000	1.346000	0.833000	1.344000
GATA3_full.JOLMA	6.920683	0.988669	7	1.320000	1.312000	0.831000	1.310000
UP00032_1.UNIPROBE	14.254147	0.678769	21	1.206000	1.310000	0.830000	1.312000
UP00032_2.UNIPROBE	9.586398	0.456495	21	1.226000	1.314000	0.830000	1.312000
UP00032.1.ZHAO2011	17.892109	0.777918	23	1.085000	1.131000	0.846000	1.105000
UP00032.2.ZHAO2011	14.623167	0.860186	17	1.059000	0.952000	0.832000	0.950000
UP00032.3.ZHAO2011	15.403291	0.906076	17	1.063000	0.957000	0.832000	0.948000
UP00032.4.ZHAO2011	19.107891	0.489946	39	0.967000	1.001000	0.831000	0.959000
GATA3_1.3DFOOTPRINT	11.356255	1.261806	9	1.255000	1.270000	0.830000	1.271000
GATA3_2.3DFOOTPRINT	12.899476	1.289948	10	1.080000	1.158000	1.039000	1.155000
GATA3_3.3DFOOTPRINT	2.702648	0.900883	3	1.005000	0.964000	0.949000	0.931000
GATA3_1.GUERTIN	12.991875	1.181080	11	1.164000	1.275000	0.859000	1.268000
GATA3_2.GUERTIN	13.625243	1.238658	11	1.294000	1.395000	0.830000	1.388000
GATA3_3.GUERTIN	10.052209	1.675368	6	1.195000	1.140000	1.001000	1.135000
GATA3_4.GUERTIN	9.033954	1.505659	6	1.152000	1.107000	1.045000	1.105000
GATA3.2_1.ZLAB	14.841083	1.060077	14	1.253000	1.373000	0.830000	1.355000
GATA3.2_2.ZLAB	12.608394	0.900600	14	1.263000	1.369000	0.865000	1.361000
GATA3.2_3.ZLAB	10.878944	1.087894	10	1.126000	1.193000	0.830000	1.192000
GATA3.2_4.ZLAB	10.878159	1.087816	10	1.201000	1.144000	1.006000	1.143000
GATA3.2_5.ZLAB	37.197513	1.430674	26	1.029000	1.045000	0.834000	1.049000
Gata3.TF2DNA	8.694524	1.242075	7	1.008000	0.901000	0.857000	0.900000
GATA3.SWISSREGULON	8.028356	1.605671	5	1.225000	1.201000	0.854000	1.200000
M4665_1.02.CIS-BP	15.006038	1.071860	14	1.242000	1.349000	0.835000	1.327000
