Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0037.2.JASPAR	11.796234	1.685176	7	1.841000	1.561000	1.587000	1.544000
GATA3_si.HOCOMOCO	8.769070	1.252724	7	1.974000	1.976000	1.104000	1.973000
GATA3_1.HOMER	16.031944	1.145139	14	1.773000	1.633000	1.870000	1.540000
GATA3_2.HOMER	15.724328	0.827596	19	1.737000	1.693000	1.842000	1.590000
GATA3_3.HOMER	14.720967	0.774788	19	1.798000	1.530000	1.852000	1.408000
GATA3_4.HOMER	14.018997	1.001357	14	1.737000	1.636000	1.866000	1.527000
GATA3_5.HOMER	8.223262	1.174752	7	1.919000	1.942000	1.854000	1.939000
GATA_disc4.POUR	11.632009	1.661716	7	1.709000	1.381000	1.769000	1.312000
GATA_disc5.POUR	13.701205	1.712651	8	0.774000	0.765000	0.628000	0.855000
GATA3_DBD.JOLMA	7.714744	1.102106	7	1.929000	1.951000	1.798000	1.948000
GATA3_full.JOLMA	6.920683	0.988669	7	1.913000	1.941000	1.850000	1.938000
UP00032_1.UNIPROBE	14.254147	0.678769	21	1.837000	1.807000	1.859000	1.799000
UP00032_2.UNIPROBE	9.586398	0.456495	21	1.758000	1.781000	1.856000	1.737000
UP00032.1.ZHAO2011	17.892109	0.777918	23	1.208000	1.308000	1.377000	1.212000
UP00032.2.ZHAO2011	14.623167	0.860186	17	1.763000	1.563000	1.881000	1.499000
UP00032.3.ZHAO2011	15.403291	0.906076	17	1.740000	1.566000	1.881000	1.518000
UP00032.4.ZHAO2011	19.107891	0.489946	39	1.390000	1.004000	1.790000	1.350000
GATA3_1.3DFOOTPRINT	11.356255	1.261806	9	1.770000	1.783000	1.867000	1.751000
GATA3_2.3DFOOTPRINT	12.899476	1.289948	10	1.578000	1.440000	0.714000	1.298000
GATA3_3.3DFOOTPRINT	2.702648	0.900883	3	1.102000	1.870000	0.943000	1.893000
GATA3_1.GUERTIN	12.991875	1.181080	11	1.734000	1.669000	1.630000	1.617000
GATA3_2.GUERTIN	13.625243	1.238658	11	1.894000	1.582000	1.857000	1.526000
GATA3_3.GUERTIN	10.052209	1.675368	6	0.721000	0.766000	1.004000	0.795000
GATA3_4.GUERTIN	9.033954	1.505659	6	0.768000	0.824000	0.630000	0.821000
GATA3.2_1.ZLAB	14.841083	1.060077	14	1.751000	1.499000	1.848000	1.441000
GATA3.2_2.ZLAB	12.608394	0.900600	14	1.757000	1.625000	1.689000	1.533000
GATA3.2_3.ZLAB	10.878944	1.087894	10	1.370000	1.176000	1.872000	1.185000
GATA3.2_4.ZLAB	10.878159	1.087816	10	0.701000	0.749000	1.091000	0.773000
GATA3.2_5.ZLAB	37.197513	1.430674	26	0.985000	0.970000	1.680000	0.985000
Gata3.TF2DNA	8.694524	1.242075	7	1.573000	1.335000	1.657000	1.352000
GATA3.SWISSREGULON	8.028356	1.605671	5	1.837000	1.761000	1.544000	1.774000
M4665_1.02.CIS-BP	15.006038	1.071860	14	1.704000	1.550000	1.755000	1.458000
